steps,rewards
124,-62.32953972341386
206,-130.90163747614488
282,-283.8347764675317
410,-121.29499956065469
476,-227.99273112088625
568,-216.996147822096
635,-199.89965791476266
841,-467.305504980193
986,-57.494531887660244
1074,-258.7606300726356
1188,-705.9549733294443
1357,-729.1204319969206
1520,-69.19222657243249
1612,-41.49118628848506
1730,-669.3921070780005
1835,-752.7502498538249
1927,-493.96782682711626
2052,-442.3013429237845
2160,-64.2631011804709
2254,-114.47821645729755
2359,-97.70412533472594
2594,-338.22963490006487
2697,-102.10061966911618
2914,-173.8489357484647
3031,-33.84090697116517
3239,-446.4013145091375
3459,-232.6106250632479
4459,-122.04034051533728
4598,-121.52840516623415
4810,-108.05354419760208
5720,-547.3873496374624
5937,-393.40545794250795
6425,-594.4847684571158
6555,-168.57613619069133
6721,-238.26091322274775
6831,-117.16862011023146
7002,-441.5903792043968
7456,-187.07176650042368
7950,-106.09091360952361
8737,-258.25609616356644
9382,-204.21032864930896
9492,-292.1487964165681
9670,-488.6093419030483
10271,-188.0477138946622
10732,-194.02633203258898
11559,-225.4021072795946
12162,-205.79044222562115
12539,-145.31204165133278
13344,-404.13207054621364
13954,-293.22140509262795
14392,-131.070151590922
14613,-86.50408612153855
15613,-102.28030407271638
16153,-196.1722567116248
16755,-147.99052284472833
17755,-100.10881811998408
18755,-110.21903164492521
19755,-101.86392120974739
20755,-135.0058258970495
21595,-282.05316536291195
22493,-242.30022308152917
22978,-156.73825621525805
23978,-4.227660378594931
24522,-138.46351263256105
25522,-143.33200785717855
26169,-208.42461694672613
27169,-124.02325998875456
28169,-148.36700658886676
29169,-47.804048942098596
30169,-127.54947664970327
31169,-44.632239557401036
32169,-97.17474749265364
33169,-169.10233135510705
34095,-242.15403714133865
35095,-157.08019070307674
36095,-27.843022441500754
37095,-41.066174760212895
37903,-204.19765050925713
38198,-90.03322153859216
39198,-20.676237302392106
39680,-166.80083414099775
40399,-203.17042382865577
40533,-77.22914296288863
40856,-158.34040743127784
41196,-145.75788113646598
41677,-175.8466763629491
42141,-196.68440281399097
42365,-123.85795073035527
43345,-282.9320933363391
43866,-126.39732643678528
44866,-13.777064025548661
45866,-126.45462807655491
46534,-145.28779961363347
46651,-170.632181892941
47651,-74.31489009942301
47996,-156.04275662472736
48571,-258.4903996993879
49275,-222.79425110238094
50275,-50.91092073148327
50568,-137.4387616532073
50817,-170.2122764097178
50927,-163.56179612731572
51199,-185.1783554099417
51626,-155.55448219137944
52626,-52.38827558898585
53626,-81.68404714853044
54626,-13.128200829884525
54781,-126.14880927950442
55781,-107.18490952104463
56016,-94.60142476557067
57016,-123.75518253898993
58016,-31.720838304200328
59016,-108.0358053194744
59310,-240.91401035198135
60310,-137.56764528382155
60427,-123.4760135012918
61427,-71.7496966708075
62427,-163.4105253335977
63427,-92.84828635814873
63568,-93.46756460339459
64568,-78.84172183359738
65568,-66.01363676665245
65869,-225.48975570803037
66869,-129.88857149363272
67869,-41.6193395640481
68869,-64.14322665400519
69869,-169.49132799438212
70869,-155.69963591573165
71869,-127.43110409138983
72869,-82.39666556866985
73869,-113.34265480492336
74869,-134.6334229336424
75869,-73.1531524666204
76869,-101.2381988998969
77869,-116.19579280735044
78869,-126.02091827799822
79869,-8.220191351309944
80869,-137.72440981330593
81869,-12.610910605130904
82869,-90.80261342514319
83869,-43.331417647149706
84869,-115.35831266199365
85869,-123.75431207955445
86869,-76.35171176005278
87869,-119.95173303174485
88869,-41.37715360204695
89071,-65.30826331060572
90071,-117.63417771576685
91071,-53.33390815754693
92071,-73.01500342254438
93071,-85.8332527201884
94071,-132.60349004208507
95071,-120.39982756599936
96071,-95.9376733960712
97071,-123.60364038572312
98071,-102.95781748243996
99071,-122.7127889995364
