steps,rewards
124,-62.17367211989955
206,-130.80351005636393
283,-305.1841929593591
399,-383.0649037612178
540,-268.1392862064622
677,-590.3165803942909
776,-295.1898954700898
865,-498.53187576010816
1102,-409.91173424973044
1286,-300.6442154087524
1424,-322.4034144976252
2350,-652.1194677092379
2479,-447.65797935850793
2841,-151.97858054288568
3222,-552.0547654876647
3403,-476.24807237639004
3561,-282.6457873451548
3711,-155.44450057954737
3883,-409.87507000301184
4173,-556.8465720954894
4420,-494.7331671252691
4577,-143.1394010316348
4743,-466.8216908502666
4998,-327.9068395077918
5191,-75.00033866825842
5452,-528.204514291129
5632,-55.779093977744836
5885,-493.5859910049579
5998,-70.13830654742446
6174,-96.96672057817267
6438,-162.4990644565417
6696,-280.8361276812136
6866,-97.5250837534238
7088,-16.63087583515906
7237,-159.3487229804263
7425,38.12791243316357
7601,-113.81119842741475
7830,-167.71955203386142
8329,-187.5762875662221
8384,-113.09032484861358
9151,-214.85523079640944
9815,-382.5839280087986
10223,-145.60622188645408
10650,-41.8114109720777
10972,-93.07610037258644
11196,11.650521773610194
11398,-50.71927233674075
11941,-32.33644465624177
12941,-154.94936746062442
13941,-53.020337412647976
14941,-117.18526968567913
15941,-127.8651850080585
16941,-37.053886061231616
17941,-137.53647998353264
18750,-190.57740541975647
19226,-177.27181001596466
20090,-258.2770382701415
20843,-252.6880887169258
21433,-124.35522909573646
21900,-207.23744461619356
22900,-116.14255124336763
23900,-133.82596354999748
24651,-169.9991709333411
25083,-145.69337255574064
25917,-221.67969642439687
26556,-180.24234034928907
27556,-134.12344822581875
28540,-195.94321988478328
29540,-145.62953559839
29972,-172.102741072686
30972,-173.4679529469398
31972,-116.3762292724086
32972,-104.11238597031273
33972,-90.79115323066584
34972,-100.49567179175506
35972,-50.025949830902796
36972,-132.80406417064586
37972,-93.74161809668094
38972,-100.3414555618254
39972,-38.58565656972692
40972,-87.4318352757415
41972,-110.58118937786715
42972,-109.59308447517498
43895,-185.59011324137393
43979,-201.20654086065758
44979,-157.50741952334684
45979,-132.84520546749832
46979,-150.29891570491364
47066,-145.83440930829045
48066,-125.22375877149165
48210,-129.576714081227
49210,-29.346298617668417
50210,-93.33616949192613
50573,-96.06370444317696
50888,-101.70968411593046
51888,-105.18284456753419
52888,-77.49789957860771
53340,-65.17467205746378
54017,-120.31998977005796
54454,-145.23992452087805
54770,-152.0874200028124
54967,-25.09508424131495
55320,-109.58807186740273
56041,-174.3574367914897
56548,170.0956407249711
57059,222.58609112343066
57397,-82.71982468170856
57726,-54.51126524636601
58390,197.86357496141903
58488,-166.50378041683638
59056,120.04824487221437
59150,-164.8385546334885
59795,-208.65991366708647
60363,253.07417554276896
60691,-81.81588712832479
61117,-150.8288892787013
62116,-207.70054687128706
62707,167.39125257933836
63707,-110.46608313715004
64348,-171.44205475463136
65002,206.2209369637442
65721,173.55788123289756
66219,-82.38162246437372
66912,-238.4369816040845
67307,-151.7264100175347
67695,-232.26090766348707
68424,-205.03951754966275
69100,-170.7138359895179
69987,-213.96183092419972
70987,-102.28015591162068
71987,-107.30628863335855
72987,-33.39426806970232
73987,-106.67962872504678
74987,-58.0719898111061
75987,-22.523826267579686
76987,-100.59004410782951
77987,-82.00959072779658
78987,-39.53939518606952
79987,-76.69131498305197
80987,-63.70483758924548
81987,-49.73194263611201
82987,-32.18894408303787
83987,-69.60135642811599
84987,-156.64546370015648
85987,-54.99939315908924
86987,-165.1017575194762
87987,-65.45093233671918
88223,-60.838145968616054
88331,-113.32808557779359
89331,-119.22637308007937
90331,-117.57657396019387
91331,-27.813284139961514
92331,-127.4362215169461
93331,-113.21129274697446
94331,-16.30759617301145
95331,-25.357789370608284
96331,-142.48250699487903
97331,-108.54407668255222
98331,-21.21130854087219
99331,11.77527013049842
