steps,rewards
256,0.29968391563743346
512,0.3039216608740375
768,0.3055687990039572
1024,0.3057934097945676
1280,0.19569642627611758
1536,0.19278406789526342
1792,0.19300794531591237
2048,0.1900056490674614
2178,0.6149220963474363
2434,0.14256551549769877
2690,0.14133479068986995
2946,0.1412072984967378
3202,0.12088136859238181
3458,0.10869837231002802
3714,0.10983554264530575
3970,0.10787236532196415
4226,0.08883574106730548
4482,0.08616297794505916
4738,0.08440044950693887
4994,0.08795535478275247
5250,0.07306356546469005
5506,0.069209502241574
5762,0.06761399516835812
5938,0.42901732039172186
5975,0.8798789249034598
6231,0.06511404091725134
6322,0.7011565751628951
6350,0.9080335722304882
6606,0.05796222542412604
6714,0.6439254812896252
6740,0.9144254360347986
6996,0.06325971393380345
7007,0.9638664773432538
7018,0.9638664773432538
7110,0.6954551766393705
7176,0.780449324264191
7214,0.8733082991559059
7225,0.9635182372643611
7250,0.9166605008998886
7301,0.8307683712686411
7312,0.9635182372643611
7559,0.17920942532364265
7815,0.04721075475681561
7850,0.8832696016412228
8044,0.3544353645527735
8165,0.5950491366209463
8409,0.18310073500033472
8665,0.04258945672772821
8713,0.840111652284395
8886,0.41991680080536753
8926,0.8665763597586192
8995,0.7697939578443767
9251,0.040024041105061844
9507,0.04037984649185092
9763,0.03763062949292362
