steps,rewards
256,0.0
512,0.0
768,0.0
1024,0.0
1280,0.0
1536,0.0
1792,0.0
2048,0.0
2304,0.0
2560,0.0
2816,0.0
3072,0.0
3328,0.0
3431,0.637890625
3600,0.405859375
3728,0.55
3984,0.0
4086,0.64140625
4248,0.43046874999999996
4304,0.803125
4471,0.41289062499999996
4528,0.799609375
4606,0.72578125
4668,0.78203125
4834,0.41640625
4848,0.95078125
5104,0.0
5313,0.265234375
5569,0.0
5737,0.40937499999999993
5882,0.490234375
5999,0.588671875
6096,0.658984375
6124,0.9015625
6140,0.94375
6169,0.898046875
6195,0.90859375
6217,0.92265625
6246,0.898046875
6299,0.813671875
6343,0.8453125
6599,0.0
6672,0.743359375
6928,0.0
7087,0.441015625
7145,0.79609375
7401,0.0
7657,0.0
7898,0.15273437499999998
8035,0.518359375
8052,0.940234375
8165,0.602734375
8296,0.539453125
8358,0.78203125
8614,0.0
8834,0.2265625
8873,0.862890625
9129,0.0
9385,0.0
9641,0.0
9897,0.0
